concurso;data;bola1;bola2;bola3;bola4;bola5;bola6
1;11/03/1996;4;5;30;33;41;52
2;18/03/1996;9;37;39;41;43;49
3;25/03/1996;10;11;29;30;36;47
4;01/04/1996;1;5;6;27;42;59
5;08/04/1996;1;2;6;16;19;46
